Station1,Station2,Line,Distance (km)
DT12,DT13,DTL,0.5
NE4,NE5,NEL,0.6
CC1,CC2,CCL,0.6
DT17,DT18,DTL,0.6
DT18,DT19,DTL,0.6
TE17,TE18,TEL,0.6
NE3,NE4,NEL,0.7
CC2,CC3,CCL,0.7
CC7,CC8,CCL,0.7
TE15,TE16,TEL,0.7
TE19,TE20,TEL,0.7
NS23,NS24,NSL,0.8
NE7,NE8,NEL,0.8
CC3,CC4,CCL,0.8
CC4,CC5,CCL,0.8
CC22,CC23,CCL,0.8
CC23,CC24,CCL,0.8
CC27,CC28,CCL,0.8
CE1,CE2,CCL,0.8
DT13,DT14,DTL,0.8
DT25,DT26,DTL,0.8
TE18,TE19,TEL,0.8
NS18,NS19,NSL,0.9
EW27,EW28,EWL,0.9
NE10,NE11,NEL,0.9
CC6,CC7,CCL,0.9
CC13,CC14,CCL,0.9
CC21,CC22,CCL,0.9
DT2,DT3,DTL,0.9
DT14,DT15,DTL,0.9
DT16,DT17,DTL,0.9
DT21,DT22,DTL,0.9
DT34,DT35,DTL,0.9
TE12,TE13,TEL,0.9
NS22,NS23,NSL,1.0
NS24,NS25,NSL,1.0
NS25,NS26,NSL,1.0
NS26,NS27,NSL,1.0
EW12,EW13,EWL,1.0
EW13,EW14,EWL,1.0
EW15,EW16,EWL,1.0
NE6,NE7,NEL,1.0
CC10,CC11,CCL,1.0
CC19,CC20,CCL,1.0
DT19,DT20,DTL,1.0
DT20,DT21,DTL,1.0
TE13,TE14,TEL,1.0
TE14,TE15,TEL,1.0
TE16,TE17,TEL,1.0
EW6,EW7,EWL,1.1
EW7,EW8,EWL,1.1
EW10,EW11,EWL,1.1
EW11,EW12,EWL,1.1
EW20,EW21,EWL,1.1
NE15,NE16,NEL,1.1
CC9,CC10,CCL,1.1
DT8,DT9,DTL,1.1
DT9,DT10,DTL,1.1
DT26,DT27,DTL,1.1
DT28,DT29,DTL,1.1
TE6,TE7,TEL,1.1
NS2,NS3,NSL,1.2
NS17,NS18,NSL,1.2
NS20,NS21,NSL,1.2
NS21,NS22,NSL,1.2
EW8,EW9,EWL,1.2
EW14,EW15,EWL,1.2
EW17,EW18,EWL,1.2
EW19,EW20,EWL,1.2
NE8,NE9,NEL,1.2
NE11,NE12,NEL,1.2
CC8,CC9,CCL,1.2
CC16,CC17,CCL,1.2
DT1,DT2,DTL,1.2
DT5,DT6,DTL,1.2
DT27,DT28,DTL,1.2
EW32,EW33,EWL,1.3
NE14,NE15,NEL,1.3
CC11,CC12,CCL,1.3
CC12,CC13,CCL,1.3
CC25,CC26,CCL,1.3
CC4,CE1,CCL,1.3
DT7,DT8,DTL,1.3
DT15,DT16,DTL,1.3
DT22,DT23,DTL,1.3
DT31,DT32,DTL,1.3
NS4,NS5,NSL,1.4
NS13,NS14,NSL,1.4
NS27,NS28,NSL,1.4
EW2,EW3,EWL,1.4
EW9,EW10,EWL,1.4
EW18,EW19,EWL,1.4
EW21,EW22,EWL,1.4
EW25,EW26,EWL,1.4
EW31,EW32,EWL,1.4
NE5,NE6,NEL,1.4
CC20,CC21,CCL,1.4
CC24,CC25,CCL,1.4
CC26,CC27,CCL,1.4
DT11,DT12,DTL,1.4
DT23,DT24,DTL,1.4
DT32,DT33,DTL,1.4
TE1,TE2,TEL,1.4
TE2,TE3,TEL,1.4
TE7,TE8,TEL,1.4
NS8,NS9,NSL,1.5
NS11,NS12,NSL,1.5
NS15,NS16,NSL,1.5
NS19,NS20,NSL,1.5
EW16,EW17,EWL,1.5
EW24,EW25,EWL,1.5
NE13,NE14,NEL,1.5
CC5,CC6,CCL,1.5
CC28,CC29,CCL,1.5
DT24,DT25,DTL,1.5
NE9,NE10,NEL,1.6
CC15,CC16,CCL,1.6
DT6,DT7,DTL,1.6
DT10,DT11,DTL,1.6
NS7,NS8,NSL,1.7
NS9,NS10,NSL,1.7
NS12,NS13,NSL,1.7
EW22,EW23,EWL,1.7
EW30,EW31,EWL,1.7
NE12,NE13,NEL,1.7
NE16,NE17,NEL,1.7
CC14,CC15,CCL,1.7
DT30,DT31,DTL,1.7
TE5,TE6,TEL,1.7
TE11,TE12,TEL,1.7
TE20,TE22,TEL,1.7
EW26,EW27,EWL,1.8
DT29,DT30,DTL,1.8
EW4,EW5,EWL,1.9
CG,CG1,EWL,1.9
EW5,EW6,EWL,2.0
NS1,NS2,NSL,2.1
TE8,TE9,TEL,2.2
EW29,EW30,EWL,2.3
NS10,NS11,NSL,2.4
NS16,NS17,NSL,2.4
EW1,EW2,EWL,2.4
EW3,EW4,EWL,2.5
EW28,EW29,EWL,2.6
NE1,NE3,NEL,2.6
DT3,DT5,DTL,2.6
DT33,DT34,DTL,2.6
TE4,TE5,TEL,2.6
TE9,TE11,TEL,3.0
NS3,NS4,NSL,3.3
EW23,EW24,EWL,3.5
CC17,CC19,CCL,3.9
NS5,NS7,NSL,4.1
TE3,TE4,TEL,4.4
CG1,CG2,EWL,4.5
NS14,NS15,NSL,4.9
